time,zone,pressure
0.9000000000000006,ESC_PER,10.0
0.9100000000000006,EXTERIOR,0.0
0.9100000000000006,GRANULACION_II,30.0
0.9100000000000006,ESC_MAT,15.0
0.9100000000000006,ESC_PER,10.0
0.9200000000000006,EXTERIOR,0.0
0.9200000000000006,GRANULACION_II,30.0
0.9200000000000006,ESC_MAT,15.0
0.9200000000000006,ESC_PER,10.0
0.9300000000000006,EXTERIOR,0.0
0.9300000000000006,GRANULACION_II,30.0
0.9300000000000006,ESC_MAT,15.0
0.9300000000000006,ESC_PER,10.0
0.9400000000000006,EXTERIOR,0.0
0.9400000000000006,GRANULACION_II,30.0
0.9400000000000006,ESC_MAT,15.0
0.9400000000000006,ESC_PER,10.0
0.9500000000000006,EXTERIOR,0.0
0.9500000000000006,GRANULACION_II,30.0
0.9500000000000006,ESC_MAT,15.0
0.9500000000000006,ESC_PER,10.0
0.9600000000000006,EXTERIOR,0.0
0.9600000000000006,GRANULACION_II,30.0
0.9600000000000006,ESC_MAT,15.0
0.9600000000000006,ESC_PER,10.0
0.9700000000000006,EXTERIOR,0.0
0.9700000000000006,GRANULACION_II,30.0
0.9700000000000006,ESC_MAT,15.0
0.9700000000000006,ESC_PER,10.0
0.9800000000000006,EXTERIOR,0.0
0.9800000000000006,GRANULACION_II,30.0
0.9800000000000006,ESC_MAT,15.0
0.9800000000000006,ESC_PER,10.0
0.9900000000000007,EXTERIOR,0.0
0.9900000000000007,GRANULACION_II,30.0
0.9900000000000007,ESC_MAT,15.0
0.9900000000000007,ESC_PER,10.0
1.0000000000000007,EXTERIOR,0.0
1.0000000000000007,GRANULACION_II,30.0
1.0000000000000007,ESC_MAT,15.0
1.0000000000000007,ESC_PER,10.0
1.0100000000000007,EXTERIOR,0.0
1.0100000000000007,GRANULACION_II,30.0
1.0100000000000007,ESC_MAT,15.0
1.0100000000000007,ESC_PER,10.0
1.0200000000000007,EXTERIOR,0.0
1.0200000000000007,GRANULACION_II,30.0
1.0200000000000007,ESC_MAT,15.0
1.0200000000000007,ESC_PER,10.0
1.0300000000000007,EXTERIOR,0.0
1.0300000000000007,GRANULACION_II,30.0
1.0300000000000007,ESC_MAT,15.0
1.0300000000000007,ESC_PER,10.0
1.0400000000000007,EXTERIOR,0.0
1.0400000000000007,GRANULACION_II,30.0
1.0400000000000007,ESC_MAT,15.0
1.0400000000000007,ESC_PER,10.0
1.0500000000000007,EXTERIOR,0.0
1.0500000000000007,GRANULACION_II,30.0
1.0500000000000007,ESC_MAT,15.0
1.0500000000000007,ESC_PER,10.0
1.0600000000000007,EXTERIOR,0.0
1.0600000000000007,GRANULACION_II,30.0
1.0600000000000007,ESC_MAT,15.0
1.0600000000000007,ESC_PER,10.0
1.0700000000000007,EXTERIOR,0.0
1.0700000000000007,GRANULACION_II,30.0
1.0700000000000007,ESC_MAT,15.0
1.0700000000000007,ESC_PER,10.0
1.0800000000000007,EXTERIOR,0.0
1.0800000000000007,GRANULACION_II,30.0
1.0800000000000007,ESC_MAT,15.0
1.0800000000000007,ESC_PER,10.0
1.0900000000000007,EXTERIOR,0.0
1.0900000000000007,GRANULACION_II,30.0
1.0900000000000007,ESC_MAT,15.0
1.0900000000000007,ESC_PER,10.0
1.1000000000000008,EXTERIOR,0.0
1.1000000000000008,GRANULACION_II,30.0
1.1000000000000008,ESC_MAT,15.0
1.1000000000000008,ESC_PER,10.0
1.1100000000000008,EXTERIOR,0.0
1.1100000000000008,GRANULACION_II,30.0
1.1100000000000008,ESC_MAT,15.0
1.1100000000000008,ESC_PER,10.0
1.1200000000000008,EXTERIOR,0.0
1.1200000000000008,GRANULACION_II,30.0
1.1200000000000008,ESC_MAT,15.0
1.1200000000000008,ESC_PER,10.0
1.1300000000000008,EXTERIOR,0.0
1.1300000000000008,GRANULACION_II,30.0
1.1300000000000008,ESC_MAT,15.0
1.1300000000000008,ESC_PER,10.0
1.1400000000000008,EXTERIOR,0.0
1.1400000000000008,GRANULACION_II,30.0
1.1400000000000008,ESC_MAT,15.0
1.1400000000000008,ESC_PER,10.0
1.1500000000000008,EXTERIOR,0.0
1.1500000000000008,GRANULACION_II,30.0
1.1500000000000008,ESC_MAT,15.0
1.1500000000000008,ESC_PER,10.0
1.1600000000000008,EXTERIOR,0.0
1.1600000000000008,GRANULACION_II,30.0
1.1600000000000008,ESC_MAT,15.0
1.1600000000000008,ESC_PER,10.0
1.1700000000000008,EXTERIOR,0.0
1.1700000000000008,GRANULACION_II,30.0
1.1700000000000008,ESC_MAT,15.0
1.1700000000000008,ESC_PER,10.0
1.1800000000000008,EXTERIOR,0.0
1.1800000000000008,GRANULACION_II,30.0
1.1800000000000008,ESC_MAT,15.0
1.1800000000000008,ESC_PER,10.0
1.1900000000000008,EXTERIOR,0.0
1.1900000000000008,GRANULACION_II,30.0
1.1900000000000008,ESC_MAT,15.0
1.1900000000000008,ESC_PER,10.0
1.2000000000000008,EXTERIOR,0.0
1.2000000000000008,GRANULACION_II,30.0
1.2000000000000008,ESC_MAT,15.0
1.2000000000000008,ESC_PER,10.0
1.2100000000000009,EXTERIOR,0.0
1.2100000000000009,GRANULACION_II,30.0
1.2100000000000009,ESC_MAT,15.0
1.2100000000000009,ESC_PER,10.0
1.2200000000000009,EXTERIOR,0.0
1.2200000000000009,GRANULACION_II,30.0
1.2200000000000009,ESC_MAT,15.0
1.2200000000000009,ESC_PER,10.0
1.2300000000000009,EXTERIOR,0.0
1.2300000000000009,GRANULACION_II,30.0
1.2300000000000009,ESC_MAT,15.0
1.2300000000000009,ESC_PER,10.0
1.2400000000000009,EXTERIOR,0.0
1.2400000000000009,GRANULACION_II,30.0
