time,link,area,delta_p
0.9700000000000006,L1,0.015,15.0
0.9700000000000006,L2,0.015,20.0
0.9700000000000006,L3,0.003,15.0
0.9700000000000006,L4,0.003,10.0
0.9800000000000006,L1,0.015,15.0
0.9800000000000006,L2,0.015,20.0
0.9800000000000006,L3,0.003,15.0
0.9800000000000006,L4,0.003,10.0
0.9900000000000007,L1,0.015,15.0
0.9900000000000007,L2,0.015,20.0
0.9900000000000007,L3,0.003,15.0
0.9900000000000007,L4,0.003,10.0
1.0000000000000007,L1,0.015,15.0
1.0000000000000007,L2,0.015,20.0
1.0000000000000007,L3,0.003,15.0
1.0000000000000007,L4,0.003,10.0
1.0100000000000007,L1,0.015,15.0
1.0100000000000007,L2,0.015,20.0
1.0100000000000007,L3,0.003,15.0
1.0100000000000007,L4,0.003,10.0
1.0200000000000007,L1,0.015,15.0
1.0200000000000007,L2,0.015,20.0
1.0200000000000007,L3,0.003,15.0
1.0200000000000007,L4,0.003,10.0
1.0300000000000007,L1,0.015,15.0
1.0300000000000007,L2,0.015,20.0
1.0300000000000007,L3,0.003,15.0
1.0300000000000007,L4,0.003,10.0
1.0400000000000007,L1,0.015,15.0
1.0400000000000007,L2,0.015,20.0
1.0400000000000007,L3,0.003,15.0
1.0400000000000007,L4,0.003,10.0
1.0500000000000007,L1,0.015,15.0
1.0500000000000007,L2,0.015,20.0
1.0500000000000007,L3,0.003,15.0
1.0500000000000007,L4,0.003,10.0
1.0600000000000007,L1,0.015,15.0
1.0600000000000007,L2,0.015,20.0
1.0600000000000007,L3,0.003,15.0
1.0600000000000007,L4,0.003,10.0
1.0700000000000007,L1,0.015,15.0
1.0700000000000007,L2,0.015,20.0
1.0700000000000007,L3,0.003,15.0
1.0700000000000007,L4,0.003,10.0
1.0800000000000007,L1,0.015,15.0
1.0800000000000007,L2,0.015,20.0
1.0800000000000007,L3,0.003,15.0
1.0800000000000007,L4,0.003,10.0
1.0900000000000007,L1,0.015,15.0
1.0900000000000007,L2,0.015,20.0
1.0900000000000007,L3,0.003,15.0
1.0900000000000007,L4,0.003,10.0
1.1000000000000008,L1,0.015,15.0
1.1000000000000008,L2,0.015,20.0
1.1000000000000008,L3,0.003,15.0
1.1000000000000008,L4,0.003,10.0
1.1100000000000008,L1,0.015,15.0
1.1100000000000008,L2,0.015,20.0
1.1100000000000008,L3,0.003,15.0
1.1100000000000008,L4,0.003,10.0
1.1200000000000008,L1,0.015,15.0
1.1200000000000008,L2,0.015,20.0
1.1200000000000008,L3,0.003,15.0
1.1200000000000008,L4,0.003,10.0
1.1300000000000008,L1,0.015,15.0
1.1300000000000008,L2,0.015,20.0
1.1300000000000008,L3,0.003,15.0
1.1300000000000008,L4,0.003,10.0
1.1400000000000008,L1,0.015,15.0
1.1400000000000008,L2,0.015,20.0
1.1400000000000008,L3,0.003,15.0
1.1400000000000008,L4,0.003,10.0
1.1500000000000008,L1,0.015,15.0
1.1500000000000008,L2,0.015,20.0
1.1500000000000008,L3,0.003,15.0
1.1500000000000008,L4,0.003,10.0
